page_source,station,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
465,Jashore,11.3,15.9,19.2,25.4,25.9,27.7,27.2,26.6,26.4,25.1,18.9,13.4
465,Faridpur,12.2,16.0,19.6,25.7,25.9,27.5,27.0,26.5,26.8,25.4,19.7,***
465,Madaripur,12.0,15.7,19.1,25.5,25.5,27.3,27.0,26.2,26.6,25.1,19.4,***
465,Khulna,13.2,17.7,21.1,26.7,26.8,28.4,27.2,26.6,26.8,25.8,20.6,***
465,Satkhira,12.9,17.6,20.9,26.5,26.9,28.6,27.5,26.7,27.2,26.0,20.7,***
465,Barishal,12.0,16.5,20.0,26.2,26.0,27.9,27.0,25.9,26.3,25.4,19.9,***
465,Bhola,12.4,16.4,20.1,26.1,25.7,27.8,26.9,25.9,26.2,25.1,19.7,14.6
465,Feni,12.8,16.0,18.7,25.7,25.3,26.2,26.3,25.4,25.9,24.7,19.4,14.2
465,M.court,14.5,17.7,20.6,26.5,25.9,27.3,27.1,25.9,26.6,26.0,21.8,16.6
465,Hatiya,13.8,16.8,***,***,***,***,***,***,***,***,***,****
465,Sitakunda,12.0,15.0,18.0,24.5,24.1,25.9,26.2,25.2,26.0,24.7,18.9,***
465,Sandwip,13.1,16.0,19.5,25.9,25.5,26.8,26.3,25.5,26.1,25.1,20.4,15.2
465,Ambagan(Ctg,14.7,17.7,21.4,26.3,25.6,26.5,26.3,25.5,26.2,25.4,21.3,***
465,Kutubdia,14.7,16.5,20.0,25.5,26.1,26.7,26.0,25.4,26.1,25.3,21.5,17.5
465,Cox's Bazar,15.8,18.7,21.8,27.1,26.7,26.2,25.8,25.3,26.1,25.8,22.9,***
465,Teknaf,15.0,16.8,19.7,24.8,***,***,***,***,***,***,***,***
465,Rangamati,13.1,14.9,18.3,24.9,24.5,26.0,25.3,24.8,25.3,24.5,20.1,***
465,Patuakhali,13.5,17.6,21.2,26.2,26.1,28.1,27.0,26.1,26.7,25.8,20.7,16.2
465,Khepupara,12.8,17.0,21.0,26.8,26.6,28.1,26.6,25.6,26.0,25.5,20.1,15.3
465,Syedpur,10.3,13.3,17.2,22.3,23.9,25.7,27.3,26.8,26.3,24.0,18.6,***
465,Tangail,11.9,16.0,19.5,25.9,25.6,26.6,26.8,25.3,26.0,24.2,18.5,12.9
465,Mongla,13.7,18.0,21.5,26.4,26.5,28.0,27.3,26.4,26.6,25.6,20.9,16.4
465,Chuadanga,10.6,14.7,18.6,24.6,25.9,27.7,27.3,26.3,26.6,24.7,18.6,12.8
465,Chittagong,14.9,17.8,21.4,26.7,26.1,27.0,26.4,25.6,26.4,25.8,22.2,***
466,Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec
466,Dhaka,71,62,55,72,75,79,74,75,80,75,63,69
466,Tangail,81,73,66,75,78,81,77,78,82,79,76,81
466,Mymensingh,80,75,72,81,82,87,82,80,87,86,81,84
466,Faridpur,78,72,64,75,79,83,81,82,84,89,74,78
466,Madaripur,83,78,72,77,80,85,81,82,85,84,82,82
466,Srimangal,84,76,72,76,84,88,84,83,86,86,81,83
466,Sylhet,74,68,66,79,82,89,82,80,84,93,73,76
466,Bogura,78,70,63,77,77,82,77,77,84,79,72,76
466,Dinajpur,84,76,69,79,79,83,78,80,84,83,76,78
466,Ishwardi,82,77,67,74,79,81,79,81,85,82,77,79
466,Rajshahi,82,77,67,74,80,83,80,83,87,81,76,78
466,Rangpur,82,76,71,82,80,85,79,80,84,81,76,80
466,Syedpur,81,75,70,80,79,82,77,79,82,79,76,79
466,chuadanga,83,79,72,75,79,80,81,83,85,81,78,81
466,Jashore,82,79,72,76,77,79,79,81,83,83,78,79
466,Khulna,78,74,69,74,74,79,79,82,82,84,76,82
466,Mongla,78,75,71,77,79,84,84,87,87,83,77,78
466,Satkhira,78,75,69,74,75,79,82,82,83,83,74,77
466,Barishal,83,77,73,79,83,86,82,84,87,85,81,83
466,Bhola,84,78,72,79,82,86,84,85,87,85,81,85
466,Khepupara,82,77,72,78,81,84,85,86,87,87,81,82
466,Patuakhali,81,75,68,78,82,86,87,88,89,90,81,81
466,Chandpur,79,73,65,78,80,85,81,83,86,82,75,80
466,Teknaf,70,74,66,77,82,87,84,86,86,83,77,75
466,Ambagan(Ctg),74,63,67,83,84,87,85,83,85,82,75,75
466,Cumilla,79,73,70,81,83,86,83,82,86,82,75,80
466,Cox's Bazar,73,65,70,76,80,86,82,83,85,88,72,70
466,Feni,78,70,66,74,79,83,78,79,85,80,76,78
