page_source,station,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
466,Hatiya,85,78,73,80,82,89,86,88,89,86,83,84
466,Kutubdia,74,77,83,80,80,83,80,81,83,80,76,74
466,M.court,81,75,70,80,82,85,81,82,87,85,80,82
466,Rangamati,76,66,64,68,78,75,65,74,71,71,72,74
466,Sandwip,82,74,71,80,83,87,83,84,88,86,83,83
466,Chittagong,72,63,69,78,81,86,80,80,83,83,69,71
466,Sitakunda,73,66,59,67,71,71,65,66,67,66,66,61
466,Gopalgonj,*,*,*,*,*,*,*,*,*,*,*,*
466,Tarash,*,*,*,*,*,*,*,*,*,*,*,*
466,Netrokona,*,*,*,*,*,*,*,*,*,*,*,*
466,Rajarhati,76,66,64,68,78,75,65,74,71,71,*,*
466,Badalgachhi,*,*,*,*,*,*,*,*,*,*,*,*
466,Dimla,*,*,*,*,*,*,*,*,*,*,*,*
466,Netrokona,*,*,*,*,*,*,*,*,*,*,*,*
467,Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec
467,Dhaka,72,61,61,55,64,77,75,82,79,73,-,-
467,Tangail,82,72,69,65,69,77,78,82,81,80,-,-
467,Mymensingh,83,78,76,73,75,83,83,85,84,85,-,-
467,Faridpur,81,71,70,66,75,83,82,85,84,80,-,-
467,Madaripur,82,77,75,72,77,84,84,88,86,83,-,-
467,Srimangal,81,74,74,72,73,84,81,85,83,85,-,-
467,Sylhet,72,69,67,69,74,83,83,87,81,82,-,-
467,Bogura,78,68,66,60,68,76,80,82,80,79,-,-
467,Dinajpur,81,73,69,66,67,73,80,83,84,82,-,-
467,Ishwardi,82,75,70,61,71,76,82,84,84,84,-,-
467,Rajshahi,81,73,71,64,72,78,82,85,86,84,-,-
467,Rangpur,82,75,71,68,69,78,80,83,81,81,-,-
467,Syedpur,80,73,69,68,68,76,80,82,81,80,-,-
467,chuadanga,83,75,69,62,72,78,82,85,85,82,-,-
467,Jashore,81,74,70,66,73,79,80,84,84,81,-,-
467,Khulna,81,75,75,68,71,80,82,85,85,79,-,-
467,Mongla,79,74,73,74,79,86,86,89,89,84,-,-
467,Satkhira,79,73,71,69,72,79,82,83,84,80,-,-
467,Barishal,82,77,75,73,77,85,85,91,89,86,-,-
467,Bhola,84,77,77,76,80,86,84,89,88,86,-,-
467,Khepupara,80,79,79,78,80,86,87,91,90,88,-,-
467,Patuakhali,81,75,77,77,80,87,88,90,89,86,-,-
467,Chandpur,80,73,72,72,77,86,84,90,86,82,-,-
467,Teknaf,71,72,71,75,79,86,***,***,***,***,-,-
467,Ambagan(Ctg),72,69,68,73,77,85,81,89,86,87,-,-
467,Cumilla,77,74,74,73,74,84,82,86,84,82,-,-
467,Cox's Bazar,67,68,66,71,77,83,83,89,85,81,-,-
467,Feni,76,69,69,68,73,82,80,86,83,82,-,-
467,Hatiya,81,80,78,78,82,89,86,91,89,89,-,-
467,Kutubdia,73,74,74,75,76,81,80,85,83,***,-,-
467,M.court,80,76,77,75,79,87,83,88,87,82,-,-
467,Rangamati,72,65,66,64,68,76,70,77,72,71,-,-
467,Sandwip,81,76,78,77,80,86,85,90,86,87,-,-
467,Chittagong,67,69,68,71,77,86,84,90,88,84,-,-
467,Sitakunda,60,62,62,65,66,72,71,76,71,70,-,-
467,Gopalgonj,81,73,72,71,75,83,84,87,87,82,-,-
467,Tarash,83,77,77,74,73,78,81,83,82,82,-,-
467,Netrokona,83,79,80,76,76,84,87,85,84,85,-,-
467,Rajarhati,85,80,74,72,73,82,82,85,84,84,-,-
467,Badalgachhi,83,75,76,72,72,77,82,84,85,86,-,-
467,Dimla,82,78,74,73,72,81,84,85,85,83,-,-
467,Kamarkhali,80,72,70,64,73,78,81,84,84,82,-,-
467,Tetulia,81,75,71,70,71,80,85,85,82,81,-,-
467,Nikli,85,84,80,80,75,75,85,81,85,83,-,-
468,Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec
468,Dhaka,75,59,61,62,69,77,78,82,79,79,63,64
468,Tangail,83,71,69,64,71,80,79,83,81,83,75,77
468,Mymensingh,85,76,75,75,76,86,84,85,83,87,80,82
468,Faridpur,82,71,68,65,73,79,83,85,83,84,74,76
468,Madaripur,86,78,74,73,78,83,86,87,86,85,82,81
468,Srimangal,87,75,72,73,78,86,82,86,82,86,81,84
468,Sylhet,80,70,67,76,77,88,83,86,79,84,75,76
468,Bogura,83,70,68,60,74,82,80,84,82,84,75,75
468,Dinajpur,86,71,68,61,70,82,81,81,82,83,79,78
468,Ishwardi,84,76,70,56,70,78,82,85,85,86,81,80
468,Rajshahi,85,76,71,58,73,79,84,87,86,87,81,80
468,Syedpur,83,71,67,60,68,80,79,79,79,81,76,77
468,Chuadanga,86,76,73,59,71,78,82,87,85,86,81,80
468,Jashore,83,77,72,66,73,78,84,85,84,85,81,80
468,Khulna,83,75,72,68,75,80,87,88,84,84,76,***
468,Mongla,82,77,74,73,80,84,89,91,88,87,80,76
468,Satkhira,81,76,74,68,74,78,85,88,84,84,78,76
468,Barishal,85,75,73,74,78,81,86,91,86,86,80,79
468,Bhola,86,78,76,77,81,84,87,91,87,88,82,82
468,Khepupara,83,77,80,77,83,84,89,91,88,85,80,75
468,Patuakhali,83,75,74,76,82,84,89,92,88,87,83,84
468,Chandpur,84,75,73,77,79,84,85,90,87,86,78,79
468,Teknaf,74,75,77,77,***,***,***,***,***,***,***,***
468,Cumilla,84,72,75,77,78,85,84,86,82,81,76,76
468,Cox's Bazar,70,65,66,72,75,84,88,89,85,79,70,65
468,Feni,80,73,71,73,76,84,83,87,81,81,77,77
468,Hatiya,85,79,78,80,83,88,90,92,***,***,***,***
468,Kutubdia,76,75,73,75,78,82,85,87,84,82,75,71
468,M.court,81,74,73,75,79,83,86,90,84,83,75,74
468,Rangamati,77,68,65,63,68,75,79,86,79,81,79,80
468,Sandwip,84,77,75,78,81,86,88,91,86,87,82,81
468,Chittagong,75,70,68,76,83,87,86,89,84,79,68,65
468,Sitakunda,65,59,59,63,73,79,78,81,70,70,74,68
468,Gopalgonj,83,75,71,69,77,80,86,90,86,86,78,78
468,Tarash,86,78,76,70,76,82,80,85,83,86,80,78
468,Netrokona,87,80,79,78,76,87,83,85,83,87,82,82
468,Rajarhat,87,76,73,69,74,85,83,83,83,86,82,83
468,Badalgachhi,86,75,75,68,76,83,82,85,86,88,83,81
468,Dimla,86,75,72,70,73,85,83,83,84,85,78,81
468,Kumarkhali,83,74,70,62,72,79,83,86,84,86,80,78
468,Tetulia,85,72,69,65,72,85,84,84,83,84,80,81
468,Nikli,90,79,78,78,78,87,80,85,82,86,80,83
